"Axel",1,"Assez Bien"
"Axel",0,"Assez Bien"
"Jonas",19.5,"Ajourné"
"Rollet",10,"Passable"
"Rollet",12,"Assez Bien"
"Rollet",14,"Bien"
"Rollet",16,"Très bien"
"Rollet",20,"Très bien"
"Rollet",11,"Passable"
"Rollet",15,"Bien"
"Rollet",15,"Bien"
"Rollet",13,"Assez Bien"
"Rollet",12,"Assez Bien"
"Rollet",13,"Assez Bien"
"Rollet",20,"Très bien"
"Rollet",20,"Très bien"
"Rollet",10,"Passable"
"Rollet",12,"Assez Bien"
"Rollet",13,"Assez Bien"
"Rollet",11,"Passable"
"Rollet",14,"Bien"
"Rollet",15*,"Ajourné"
"Rollet",15,"Bien"
"Rollet",16,"Très bien"
"Rollet",15,"Bien"
